name,location,url,rating,type,grade,pitches,length,lat,lon,region,yds,protection,ticks,votes,sub_area,area
Satan's Little Helper,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105793703/satans-little-helper,2.4,Sport,5.8,1.0,60.0,47.0277,-119.96448999999998,Central,8.0,,407,118,The North Side , The Feathers 
Satan's Wagon,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105793707/satans-wagon,2.9,Sport,5.10b,1.0,60.0,47.0277,-119.96448999999998,Central,10.0,,441,164,The North Side , The Feathers 
Desert Shield,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105947340/desert-shield,2.6,Sport,5.9,1.0,50.0,47.0277,-119.96448999999998,Central,9.0,,445,136,The North Side , The Feathers 
The Uprising,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105996964/the-uprising,2.6,Sport,5.8,1.0,50.0,47.0277,-119.96448999999998,Central,8.0,,646,165,The North Side , The Feathers 
Blood Blister,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106260070/blood-blister,2.4,Sport,5.10a,1.0,60.0,47.0277,-119.96448999999998,Central,10.0,,371,93,The North Side , The Feathers 
Notch Route,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106279516/notch-route,2.1,Sport,5.6,1.0,35.0,47.0277,-119.96448999999998,Central,6.0,,285,62,The North Side , The Feathers 
Jesus Saves,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106279526/jesus-saves,2.4,Sport,5.8,1.0,45.0,47.0277,-119.96448999999998,Central,8.0,,440,100,The North Side , The Feathers 
Shake It Don't Break It,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106399185/shake-it-dont-break-it,2.0,Sport,5.5,1.0,60.0,47.0277,-119.96448999999998,Central,5.0,,415,80,The North Side , The Feathers 
Criminally Insane,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106402120/criminally-insane,2.2,Sport,5.10a,1.0,50.0,47.0277,-119.96448999999998,Central,10.0,,129,36,The North Side , The Feathers 
Feather in My Cap,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106403086/feather-in-my-cap,1.9,Sport,5.6,1.0,50.0,47.0277,-119.96448999999998,Central,6.0,,365,62,The North Side , The Feathers 
Ruffled Feathers,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106403103/ruffled-feathers,1.9,Sport,5.7,1.0,50.0,47.0277,-119.96448999999998,Central,7.0,,373,65,The North Side , The Feathers 
