Route,Location,URL,Avg Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Region
Satan's Little Helper,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105793703/satans-little-helper,2.4,Sport,5.8,1,60.0,47.0277,-119.96448999999998,Central
Satan's Wagon,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105793707/satans-wagon,2.9,Sport,5.10b,1,60.0,47.0277,-119.96448999999998,Central
Desert Shield,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105947340/desert-shield,2.6,Sport,5.9,1,50.0,47.0277,-119.96448999999998,Central
The Uprising,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105996964/the-uprising,2.6,Sport,5.8,1,50.0,47.0277,-119.96448999999998,Central
Blood Blister,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106260070/blood-blister,2.4,Sport,5.10a,1,60.0,47.0277,-119.96448999999998,Central
Notch Route,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106279516/notch-route,2.1,Sport,5.6,1,35.0,47.0277,-119.96448999999998,Central
Jesus Saves,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106279526/jesus-saves,2.4,Sport,5.8,1,45.0,47.0277,-119.96448999999998,Central
Shake It Don't Break It,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106399185/shake-it-dont-break-it,2.0,Sport,5.5,1,60.0,47.0277,-119.96448999999998,Central
Criminally Insane,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106402120/criminally-insane,2.2,Sport,5.10a,1,50.0,47.0277,-119.96448999999998,Central
Feather in My Cap,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403086/feather-in-my-cap,1.9,Sport,5.6,1,50.0,47.0277,-119.96448999999998,Central
Ruffled Feathers,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403103/ruffled-feathers,1.9,Sport,5.7,1,50.0,47.0277,-119.96448999999998,Central
Where the Sidewalk Ends,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403110/where-the-sidewalk-ends,2.1,Sport,5.1,1,45.0,47.0277,-119.96448999999998,Central
Beckey Route,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403137/beckey-route,2.1,Sport,5.7,1,50.0,47.0277,-119.96448999999998,Central
Get the Pever Fever,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403148/get-the-pever-fever,1.8,Sport,5.5,1,40.0,47.0277,-119.96448999999998,Central
Mandatory Suicide,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403153/mandatory-suicide,2.3,Sport,5.4,1,50.0,47.0277,-119.96448999999998,Central
Shin Smasher,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106515723/shin-smasher,1.6,Sport,5.8+,1,50.0,47.0277,-119.96448999999998,Central
Suites of the Carrion Kind,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106578563/suites-of-the-carrion-kind,2.4,Sport,5.10a,1,50.0,47.0277,-119.96448999999998,Central
Altar of Sacrifice,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106582612/altar-of-sacrifice,2.1,Sport,5.7,1,40.0,47.0277,-119.96448999999998,Central
Forty Bucks in the Dark,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/108078697/forty-bucks-in-the-dark,2.1,"Trad, Sport",5,1,45.0,47.0277,-119.96448999999998,Central
Bird Brain,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112180165/bird-brain,2.1,Sport,5.7,1,50.0,47.0277,-119.96448999999998,Central
Night Owl,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112180192/night-owl,1.8,Sport,5.7,1,50.0,47.0277,-119.96448999999998,Central
Canary Corner,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112910300/canary-corner,2.1,Sport,5.8,1,50.0,47.0277,-119.96448999999998,Central
Basalt 'n' Peppa,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/114439033/basalt-n-peppa,2.2,Sport,5.9+,1,50.0,47.0277,-119.96448999999998,Central
The Dirty Bird,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/115402383/the-dirty-bird,1.7,Sport,5.6,1,40.0,47.0277,-119.96448999999998,Central
Friend of the Devil,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/116976473/friend-of-the-devil,2.1,Sport,5.7+,1,55.0,47.0277,-119.96448999999998,Central
